"variable","datatype","labels","intensitySpecification","period","timeframe","specificationUnits","specificationTimeframe","aboutBinging","aboutAlcoholism","study"
"Alcoholism","logical",NA,"NA","during","unknown","NA","NA","FALSE","TRUE","Cannon2012.r"
"Drinks during a sitting","ordinal","<4 drinks | =4 drinks","any day","during","unknown","units","per sitting","FALSE","FALSE","Cannon2012.r"
"Frequency during","ordinal","<7 days | =7 days","any day","during","unknown","NA","per week","FALSE","FALSE","Cannon2012.r"
"Drinks before a day","numeric",NA,"any day","before","retrospective","units","per day","FALSE","FALSE","Ceccanti2014.r"
"Drinks during a week","numeric",NA,"weekday","during","retrospective","units","per week","FALSE","FALSE","Ceccanti2014.r"
"Drinks during a drinking day","numeric",NA,"any day","during","retrospective","units","per day","FALSE","FALSE","Ceccanti2014.r"
"Binge during","logical",NA,"any day","during","retrospective","NA","per occasion","TRUE","FALSE","Ceccanti2014.r"
"Binge current","logical",NA,"any day","current","concurrent","NA","per occasion","TRUE","FALSE","Ceccanti2014.r"
"Drinks during first trimester","numeric",NA,"any day","1st","retrospective","units","per day","FALSE","FALSE","Ceccanti2014.r"
"Drinks during second trimester","numeric",NA,"any day","1st","retrospective","units","per day","FALSE","FALSE","Ceccanti2014.r"
"Drinks during third trimester","numeric",NA,"any day","1st","retrospective","units","per 108day","FALSE","FALSE","Ceccanti2014.r"
"Smoking before","ordinal","none | < 10/day | 11-20 /day | >20 /day","NA","before","retrospective","NA","per week","FALSE","FALSE","Coyne2008.r"
"Drinking before a week","ordinal","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","NA","before","retrospective","NA","a week","FALSE","FALSE","Coyne2008.r"
"Smoking during","ordinal","none | < 10/day | 11-20 /day | >20 /day","NA","during","not specified, probably retrospective","g","per week]","FALSE","FALSE","Coyne2008.r"
"Alcohol consumption: during a week","ordinal","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","NA","during","not specified, probably retrospective","NA","per week]","FALSE","FALSE","Coyne2008.r"
"Alcohol consumption: during","nominal","a week | 2-3 weeks | every week | never","NA","during","retrospective","NA","per year","FALSE","FALSE","Davies2011.r"
"Drinking before","ordinal","abstinent | low <70g and on one day no more than 2 standard drinks | moderate <70g alcohol per week and 21 to 49g per occasion | moderate and binge less than weekly | heavy and binge 1 or 2 times a week | heavy and binge >2 times a week | heavy <50g per occasion so no binge, 70.1-140.0g a week | very heavy <50g per occasion so no binge, > 140.1g a week","NA","before","retrospective","NA","NA","FALSE","FALSE","Leary2010b.r"
"Alcohol consumption: during first trimester","ordinal","abstinent | low <70g and on one day no more than 2 standard drinks | moderate <70g alcohol per week and 21 to 49g per occasion | moderate and binge less than weekly | heavy and binge 1 or 2 times a week | heavy and binge >2 times a week | heavy <50g per occasion so no binge, 70.1-140.0g a week | very heavy <50g per occasion so no binge, > 140.1g a week","NA","1st","retrospective","NA","NA","FALSE","FALSE","Leary2010b.r"
