"","study","variable","subsample","percentage","n","comment","value","mean","sd","median","moment","minimum","maximum","qualitative","size","recruitmentSetting","year","startyear","endyear","geography","descent","samplingMethod","samplingAselect","dependent","datatype","specifiesSubsample","frequency","depVarValue","depVarName","period","varType","intensitySpecification","specificationUnits","specificationTimeframe","aboutBinging","aboutAlcoholism","labels","recodeToCategory","gramsAlcoholSpecifiedByAuthors_mean","gramsAlcoholSpecifiedByAuthors_sd","gramsInOneUnitToUse","gramsAlcoholFromUnits_mean","gramsAlcoholFromUnits_sd","gramsAlcohol_mean","gramsAlcohol_sd","timeframeForGrams","gramTimeframeMultiplier","gramsAlcohol_mean_perday","gramsAlcohol_sd_perday","alcoholGrams_ci.lb","alcoholGrams_ci.ub"
"1","Cannon2012.r","Alcoholism","FAS mothers, Total","92.156862745098",51,"see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"logical",FALSE,47,1,"FAS diagnosis","during","any","NA","NA","NA","FALSE","TRUE",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cannon2012.r","Alcoholism","Control mothers, Total","6",NA,"see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"logical",FALSE,233692.44,0,"FAS diagnosis","during","any","NA","NA","NA","FALSE","TRUE",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cannon2012.r","Drinks during a sitting","FAS mothers, Total","32",NA,"<4 drinks ;We don't know how much oz/mg is one drink? see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,112.96,1,"FAS diagnosis","during","units","any day","units","per sitting","FALSE","FALSE","<4 drinks | =4 drinks","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cannon2012.r","Drinks during a sitting","FAS mothers, Total","68",NA,">4 drinks; We don't know how much oz/mg is one drink? see table 2 page 93",2,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,240.04,1,"FAS diagnosis","during","units","any day","units","per sitting","FALSE","FALSE","<4 drinks | =4 drinks","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Cannon2012.r","Drinks during a sitting","Control mothers, Total","97",NA,"<4 drinks but we don't know the N?; see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3778027.78,0,"FAS diagnosis","during","units","any day","units","per sitting","FALSE","FALSE","<4 drinks | =4 drinks","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cannon2012.r","Drinks during a sitting","Control mothers, Total","3",NA,">4 drinks but we don't know the N?; see table 2 page 93",2,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,116846.22,0,"FAS diagnosis","during","units","any day","units","per sitting","FALSE","FALSE","<4 drinks | =4 drinks","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cannon2012.r","Frequency during","FAS mothers, Total","35.7142857142857",NA,"<7 days; see table 2 page 93",3,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,126.071428571429,1,"FAS diagnosis","during","frequency","any day","NA","per week","FALSE","FALSE","<7 days | =7 days","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"8","Cannon2012.r","Frequency during","FAS mothers, Total","64.2857142857143",NA,">7 days; see table 2 page 93",4,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,226.928571428571,1,"FAS diagnosis","during","frequency","any day","NA","per week","FALSE","FALSE","<7 days | =7 days","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"9","Cannon2012.r","Frequency during","Control mothers, Total","97",NA,"<7 days but we don't know the N?; see table 2 page 93",3,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3778027.78,0,"FAS diagnosis","during","frequency","any day","NA","per week","FALSE","FALSE","<7 days | =7 days","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"10","Cannon2012.r","Frequency during","Control mothers, Total","3",NA,">7 days but we don't know the N?; see table 2 page 93",4,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,116846.22,0,"FAS diagnosis","during","frequency","any day","NA","per week","FALSE","FALSE","<7 days | =7 days","Alcohol consumption during",NA,NA,"14",NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
