"","study","variable","subsample","percentage","n","comment","value","mean","sd","median","moment","minimum","maximum","qualitative","size","recruitmentSetting","year","startyear","endyear","geography","descent","samplingMethod","samplingAselect","dependent","datatype","specifiesSubsample","frequency","depVarValue","depVarName"
"1","Cannon2012.r","Alcoholism","FAS mothers, Total","92.156862745098",51,"see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"logical",FALSE,47,1,"FAS diagnosis"
"2","Cannon2012.r","Alcoholism","Control mothers, Total","6",NA,"see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"logical",FALSE,233692.44,0,"FAS diagnosis"
"3","Cannon2012.r","Drinks during a sitting","FAS mothers, Total","32",NA,"<4 drinks ;We don't know how much oz/mg is one drink? see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,112.96,1,"FAS diagnosis"
"4","Cannon2012.r","Drinks during a sitting","FAS mothers, Total","68",NA,">4 drinks; We don't know how much oz/mg is one drink? see table 2 page 93",2,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,240.04,1,"FAS diagnosis"
"5","Cannon2012.r","Drinks during a sitting","Control mothers, Total","97",NA,"<4 drinks but we don't know the N?; see table 2 page 93",1,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3778027.78,0,"FAS diagnosis"
"6","Cannon2012.r","Drinks during a sitting","Control mothers, Total","3",NA,">4 drinks but we don't know the N?; see table 2 page 93",2,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,116846.22,0,"FAS diagnosis"
"7","Cannon2012.r","Frequency during","FAS mothers, Total","35.7142857142857",NA,"<7 days; see table 2 page 93",3,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,126.071428571429,1,"FAS diagnosis"
"8","Cannon2012.r","Frequency during","FAS mothers, Total","64.2857142857143",NA,">7 days; see table 2 page 93",4,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,226.928571428571,1,"FAS diagnosis"
"9","Cannon2012.r","Frequency during","Control mothers, Total","97",NA,"<7 days but we don't know the N?; see table 2 page 93",3,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3778027.78,0,"FAS diagnosis"
"10","Cannon2012.r","Frequency during","Control mothers, Total","3",NA,">7 days but we don't know the N?; see table 2 page 93",4,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,116846.22,0,"FAS diagnosis"
"11","Cannon2012.r","FAS diagnosis","FAS mothers, Total","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,TRUE,"logical",TRUE,353,NA,NA
"12","Cannon2012.r","FAS diagnosis","Control mothers, Total","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,TRUE,"logical",TRUE,3894874,NA,NA
"13","Ceccanti2014.r","Drinks before a day","FASD mothers",NA,NA,"Total nr of standard drinks per day 3 months prior to pregnancy; see table 2 page 204",NA,0.94,1.65,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"14","Ceccanti2014.r","Drinks before a day","Control mothers R-S",NA,NA,"Total nr of standard drinks per day 3 months prior to pregnancy;see table 2 page 204",NA,0.63,0.76,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"15","Ceccanti2014.r","Drinks during a week","FASD mothers",NA,NA,"Average nr of drinks per week during pregnancy; see table 2 page 204",NA,1.12,3.2,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"16","Ceccanti2014.r","Drinks during a week","Control mothers R-S",NA,NA,"Average nr of drinks per week during pregnancy; see table 2 page 204",NA,0.49,1.76,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"17","Ceccanti2014.r","Drinks during a drinking day","FASD mothers",NA,NA,"Drinks consumed per drinking day during pregnancy; see table 2 page 204",NA,0.44,0.6,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"18","Ceccanti2014.r","Drinks during a drinking day","Control mothers R-S",NA,NA,"Drinks consumed per drinking day during pregnancy;see table 2 page 204",NA,0.31,0.52,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"19","Ceccanti2014.r","Binge during","FASD mothers","5.1",NA,"Binge, 3 drinks per occasion during pregnancy; see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,1.989,1,"FASD diagnosis"
"20","Ceccanti2014.r","Binge during","Control mothers R-S","0",NA,"Binge, 3 drinks per occasion during pregnancy; see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,0,0,"FASD diagnosis"
"21","Ceccanti2014.r","Binge current","FASD mothers","10.3",NA,"Binge, 3 drinks per occasion current; see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,4.017,1,"FASD diagnosis"
"22","Ceccanti2014.r","Binge current","Control mothers R-S","6.5",NA,"Binge, 3 drinks per occasion current;see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,7.02,0,"FASD diagnosis"
"23","Ceccanti2014.r","Drinks during first trimester","FASD mothers",NA,NA,"Drinks consumed per day, 1st trimester; see table 2 page 204",NA,0.32,0.51,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"24","Ceccanti2014.r","Drinks during first trimester","Control mothers R-S",NA,NA,"Drinks consumed per day, 1st trimester;see table 2 page 204",NA,0.23,0.45,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"25","Ceccanti2014.r","Drinks during second trimester","FASD mothers",NA,NA,"Drinks consumed per day, 2nd trimester; see table 2 page 204",NA,0.37,0.53,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
